BARCODE,EXP_ID,GROUP_ID,INDIVIDUAL_ID,COMPOUND_NAME,DOSE_LEVEL,SACRIFICE_PERIOD,ORGAN,FINDING_TYPE,TOPOGRAPHY_TYPE,GRADE_TYPE,SP_FLG
No ChipData,501,14,4,colchicine,High,6 hr,Liver,Increased mitosis,Midlobular,slight,False
003017350003,501,14,2,colchicine,High,6 hr,Liver,Necrosis,Subserosa,minimal,True
No ChipData,501,14,4,colchicine,High,6 hr,Liver,Single cell necrosis,Midlobular,slight,False
003017350002,501,14,1,colchicine,High,6 hr,Liver,Single cell necrosis,Midlobular,moderate,False
003017350003,501,14,2,colchicine,High,6 hr,Liver,Single cell necrosis,Midlobular,moderate,False
003017350004,501,14,3,colchicine,High,6 hr,Liver,Single cell necrosis,Midlobular,moderate,False
No ChipData,501,14,5,colchicine,High,6 hr,Liver,Single cell necrosis,Midlobular,moderate,False
No ChipData,501,15,2,colchicine,High,9 hr,Liver,Increased mitosis,Bile duct cell,minimal,False
003017358014,501,15,1,colchicine,High,9 hr,Liver,Increased mitosis,Midlobular,minimal,False
No ChipData,501,15,3,colchicine,High,9 hr,Liver,Increased mitosis,Midlobular,minimal,False
003017358014,501,15,1,colchicine,High,9 hr,Liver,Single cell necrosis,Midlobular,slight,False
No ChipData,501,15,3,colchicine,High,9 hr,Liver,Single cell necrosis,Midlobular,slight,False
No ChipData,501,15,2,colchicine,High,9 hr,Liver,Single cell necrosis,Midlobular,moderate,False
003017358015,501,15,4,colchicine,High,9 hr,Liver,Single cell necrosis,Midlobular,moderate,False
003017358016,501,15,5,colchicine,High,9 hr,Liver,Single cell necrosis,Midlobular,moderate,False
003017358027,501,16,3,colchicine,High,24 hr,Liver,Increased mitosis,Bile duct cell,minimal,False
003017358028,501,16,4,colchicine,High,24 hr,Liver,Increased mitosis,Bile duct cell,minimal,False
No ChipData,501,16,5,colchicine,High,24 hr,Liver,Increased mitosis,Bile duct cell,minimal,False
No ChipData,501,16,1,colchicine,High,24 hr,Liver,Increased mitosis,Bile duct cell,slight,False
003017358026,501,16,2,colchicine,High,24 hr,Liver,Increased mitosis,Bile duct cell,slight,False
No ChipData,501,16,1,colchicine,High,24 hr,Liver,Single cell necrosis,Midlobular,slight,False
003017358026,501,16,2,colchicine,High,24 hr,Liver,Single cell necrosis,Midlobular,slight,False
003017358027,501,16,3,colchicine,High,24 hr,Liver,Single cell necrosis,Midlobular,slight,False
003017358028,501,16,4,colchicine,High,24 hr,Liver,Single cell necrosis,Midlobular,slight,False
No ChipData,501,16,5,colchicine,High,24 hr,Liver,Single cell necrosis,Midlobular,slight,False
No ChipData,501,16,1,colchicine,High,24 hr,Liver,"Vacuolization, cytoplasmic",Midlobular,minimal,False
003017358026,501,16,2,colchicine,High,24 hr,Liver,"Vacuolization, cytoplasmic",Midlobular,minimal,False
003017358027,501,16,3,colchicine,High,24 hr,Liver,"Vacuolization, cytoplasmic",Midlobular,minimal,False
No ChipData,501,16,5,colchicine,High,24 hr,Liver,"Vacuolization, cytoplasmic",Midlobular,minimal,False
003017358028,501,16,4,colchicine,High,24 hr,Liver,"Vacuolization, cytoplasmic",Midlobular,slight,False
003017687009,196,5,2,coumarin,Low,3 hr,Liver,Increased mitosis,Hepatocyte,minimal,True
No ChipData,196,6,1,coumarin,Low,6 hr,Liver,Necrosis,,minimal,True
No ChipData,196,9,1,coumarin,Middle,3 hr,Liver,Increased mitosis,Hepatocyte,minimal,True
003017687011,196,9,2,coumarin,Middle,3 hr,Liver,Increased mitosis,Hepatocyte,minimal,True
003017685023,196,11,1,coumarin,Middle,9 hr,Liver,Single cell necrosis,Hepatocyte,minimal,True
003017687014,196,13,2,coumarin,High,3 hr,Liver,Increased mitosis,Hepatocyte,minimal,True
003017687015,196,13,3,coumarin,High,3 hr,Liver,Increased mitosis,Hepatocyte,minimal,True
003017687026,196,14,1,coumarin,High,6 hr,Liver,Increased mitosis,Hepatocyte,minimal,True
003017687027,196,14,2,coumarin,High,6 hr,Liver,Increased mitosis,Hepatocyte,minimal,True
No ChipData,196,14,3,coumarin,High,6 hr,Liver,Increased mitosis,Hepatocyte,minimal,True
No ChipData,196,14,3,coumarin,High,6 hr,Liver,Single cell necrosis,Hepatocyte,minimal,True
No ChipData,196,14,5,coumarin,High,6 hr,Liver,Single cell necrosis,Hepatocyte,minimal,True
No ChipData,196,15,1,coumarin,High,9 hr,Liver,Increased mitosis,Hepatocyte,minimal,True
003017685028,196,15,5,coumarin,High,9 hr,Liver,Increased mitosis,Hepatocyte,minimal,True
No ChipData,196,15,3,coumarin,High,9 hr,Liver,Single cell necrosis,Hepatocyte,minimal,True
003017685028,196,15,5,coumarin,High,9 hr,Liver,Single cell necrosis,Hepatocyte,minimal,True
003017686008,196,16,1,coumarin,High,24 hr,Liver,"Change, eosinophilic",Centrilobular,minimal,False
No ChipData,196,16,2,coumarin,High,24 hr,Liver,"Change, eosinophilic",Centrilobular,minimal,False
003017686010,196,16,5,coumarin,High,24 hr,Liver,"Change, eosinophilic",Centrilobular,minimal,False
003017686009,196,16,3,coumarin,High,24 hr,Liver,Single cell necrosis,Hepatocyte,minimal,True
003017233029,454,5,1,cycloheximide,Low,3 hr,Liver,Single cell necrosis,Hepatocyte,slight,False
003017234001,454,5,5,cycloheximide,Low,3 hr,Liver,Single cell necrosis,Hepatocyte,slight,False
No ChipData,454,6,1,cycloheximide,Low,6 hr,Liver,"Change, eosinophilic",Hepatocyte,slight,False
003017234013,454,6,5,cycloheximide,Low,6 hr,Liver,"Vacuolization, cytoplasmic",Hepatocyte,slight,True
003017236004,454,7,2,cycloheximide,Low,9 hr,Liver,"Change, eosinophilic",Hepatocyte,slight,False
No ChipData,454,7,4,cycloheximide,Low,9 hr,Liver,"Change, eosinophilic",Hepatocyte,slight,False
No ChipData,454,7,5,cycloheximide,Low,9 hr,Liver,"Change, eosinophilic",Hepatocyte,slight,False
003017234002,454,9,1,cycloheximide,Middle,3 hr,Liver,Single cell necrosis,Hepatocyte,slight,False
No ChipData,454,9,2,cycloheximide,Middle,3 hr,Liver,Single cell necrosis,Hepatocyte,slight,False
003017234003,454,9,3,cycloheximide,Middle,3 hr,Liver,Single cell necrosis,Hepatocyte,slight,False
No ChipData,454,9,5,cycloheximide,Middle,3 hr,Liver,Single cell necrosis,Hepatocyte,slight,False
003017234004,454,9,4,cycloheximide,Middle,3 hr,Liver,Single cell necrosis,Hepatocyte,moderate,False
003017234014,454,10,1,cycloheximide,Middle,6 hr,Liver,Single cell necrosis,Hepatocyte,slight,False
No ChipData,454,10,2,cycloheximide,Middle,6 hr,Liver,Single cell necrosis,Hepatocyte,slight,False
003017234015,454,10,3,cycloheximide,Middle,6 hr,Liver,Single cell necrosis,Hepatocyte,slight,False
No ChipData,454,10,4,cycloheximide,Middle,6 hr,Liver,Single cell necrosis,Hepatocyte,slight,False
003017234016,454,10,5,cycloheximide,Middle,6 hr,Liver,Single cell necrosis,Hepatocyte,slight,False
No ChipData,454,10,2,cycloheximide,Middle,6 hr,Liver,"Vacuolization, cytoplasmic",Hepatocyte,slight,True
No ChipData,454,11,1,cycloheximide,Middle,9 hr,Liver,"Change, eosinophilic",Hepatocyte,slight,False
003017236006,454,11,2,cycloheximide,Middle,9 hr,Liver,"Change, eosinophilic",Hepatocyte,slight,False
No ChipData,454,11,3,cycloheximide,Middle,9 hr,Liver,"Change, eosinophilic",Hepatocyte,slight,False
003017236007,454,11,4,cycloheximide,Middle,9 hr,Liver,"Change, eosinophilic",Hepatocyte,slight,False
003017236008,454,11,5,cycloheximide,Middle,9 hr,Liver,"Change, eosinophilic",Hepatocyte,slight,False
003017236006,454,11,2,cycloheximide,Middle,9 hr,Liver,Single cell necrosis,Hepatocyte,slight,False
003017236007,454,11,4,cycloheximide,Middle,9 hr,Liver,Single cell necrosis,Hepatocyte,slight,False
No ChipData,454,13,1,cycloheximide,High,3 hr,Liver,Single cell necrosis,Hepatocyte,moderate,False
003017234005,454,13,2,cycloheximide,High,3 hr,Liver,Single cell necrosis,Hepatocyte,moderate,False
003017234006,454,13,3,cycloheximide,High,3 hr,Liver,Single cell necrosis,Hepatocyte,moderate,False
003017234007,454,13,4,cycloheximide,High,3 hr,Liver,Single cell necrosis,Hepatocyte,moderate,False
No ChipData,454,13,5,cycloheximide,High,3 hr,Liver,Single cell necrosis,Hepatocyte,moderate,False
003017234017,454,14,1,cycloheximide,High,6 hr,Liver,Single cell necrosis,Hepatocyte,slight,False
003017234018,454,14,2,cycloheximide,High,6 hr,Liver,Single cell necrosis,Hepatocyte,slight,False
No ChipData,454,14,3,cycloheximide,High,6 hr,Liver,Single cell necrosis,Hepatocyte,slight,False
003017234019,454,14,4,cycloheximide,High,6 hr,Liver,Single cell necrosis,Hepatocyte,slight,False
No ChipData,454,14,5,cycloheximide,High,6 hr,Liver,Single cell necrosis,Hepatocyte,slight,False
003017236009,454,15,1,cycloheximide,High,9 hr,Liver,"Change, eosinophilic",Hepatocyte,slight,False
003017236010,454,15,2,cycloheximide,High,9 hr,Liver,"Change, eosinophilic",Hepatocyte,slight,False
No ChipData,454,15,3,cycloheximide,High,9 hr,Liver,"Change, eosinophilic",Hepatocyte,slight,False
003017236011,454,15,4,cycloheximide,High,9 hr,Liver,"Change, eosinophilic",Hepatocyte,slight,False
No ChipData,454,15,5,cycloheximide,High,9 hr,Liver,"Change, eosinophilic",Hepatocyte,slight,False
003017236010,454,15,2,cycloheximide,High,9 hr,Liver,Single cell necrosis,Hepatocyte,slight,False
No ChipData,454,15,3,cycloheximide,High,9 hr,Liver,Single cell necrosis,Hepatocyte,slight,False
003017236011,454,15,4,cycloheximide,High,9 hr,Liver,Single cell necrosis,Hepatocyte,slight,False
No ChipData,454,15,5,cycloheximide,High,9 hr,Liver,Single cell necrosis,Hepatocyte,slight,False
003017236021,454,16,2,cycloheximide,High,24 hr,Liver,"Change, eosinophilic",Hepatocyte,slight,False
003017236022,454,16,5,cycloheximide,High,24 hr,Liver,"Change, eosinophilic",Hepatocyte,slight,False
No ChipData,454,16,1,cycloheximide,High,24 hr,Liver,DEAD,DEAD,P,False
No ChipData,454,16,3,cycloheximide,High,24 hr,Liver,DEAD,DEAD,P,False
No ChipData,454,16,4,cycloheximide,High,24 hr,Liver,DEAD,DEAD,P,False
003017236022,454,16,5,cycloheximide,High,24 hr,Liver,Single cell necrosis,Hepatocyte,slight,False
No ChipData,604,15,3,cyclosporine A,High,9 hr,Liver,"Change, acidophilic",Hepatocyte,slight,False
No ChipData,604,15,4,cyclosporine A,High,9 hr,Liver,"Change, acidophilic",Hepatocyte,slight,False
No ChipData,604,16,2,cyclosporine A,High,24 hr,Liver,"Change, acidophilic",Hepatocyte,slight,False
003017590023,604,16,3,cyclosporine A,High,24 hr,Liver,"Change, acidophilic",Hepatocyte,slight,False
003017480015,544,8,2,danazol,Low,24 hr,Liver,Increased mitosis,Hepatocyte,slight,False
003017480016,544,8,4,danazol,Low,24 hr,Liver,Increased mitosis,Hepatocyte,slight,False
003017480017,544,8,5,danazol,Low,24 hr,Liver,Increased mitosis,Hepatocyte,slight,False
003017480018,544,12,1,danazol,Middle,24 hr,Liver,Increased mitosis,Hepatocyte,slight,False
No ChipData,544,12,4,danazol,Middle,24 hr,Liver,Increased mitosis,Hepatocyte,slight,False
No ChipData,544,12,2,danazol,Middle,24 hr,Liver,Increased mitosis,Hepatocyte,moderate,False
003017480019,544,12,3,danazol,Middle,24 hr,Liver,Increased mitosis,Hepatocyte,moderate,False
003017480020,544,12,5,danazol,Middle,24 hr,Liver,Increased mitosis,Hepatocyte,moderate,False
No ChipData,544,16,2,danazol,High,24 hr,Liver,Increased mitosis,Hepatocyte,slight,False
No ChipData,544,16,3,danazol,High,24 hr,Liver,Increased mitosis,Hepatocyte,slight,False
003017480022,544,16,4,danazol,High,24 hr,Liver,Increased mitosis,Hepatocyte,slight,False
003017480023,544,16,5,danazol,High,24 hr,Liver,Increased mitosis,Hepatocyte,slight,False
No ChipData,519,1,1,dantrolene,Control,3 hr,Liver,Necrosis,,minimal,True
003017390023,519,12,2,dantrolene,Middle,24 hr,Liver,Necrosis,,minimal,True
No ChipData,519,14,3,dantrolene,High,6 hr,Liver,Necrosis,,minimal,True
No ChipData,692,1,1,desmopressin acetate,Control,3 hr,Liver,Necrosis,,minimal,True
003017949017,692,1,4,desmopressin acetate,Control,3 hr,Liver,Necrosis,,minimal,True
003017949027,692,2,1,desmopressin acetate,Control,6 hr,Liver,Microgranuloma,,minimal,True
No ChipData,692,5,1,desmopressin acetate,Low,3 hr,Liver,Necrosis,,minimal,True
No ChipData,692,9,2,desmopressin acetate,Middle,3 hr,Liver,Microgranuloma,,minimal,True
003017950003,692,10,2,desmopressin acetate,Middle,6 hr,Liver,Microgranuloma,,minimal,True
No ChipData,692,12,2,desmopressin acetate,Middle,24 hr,Liver,Necrosis,,minimal,True
No ChipData,664,3,1,dexamethasone,Control,9 hr,Liver,"Hematopoiesis, extramedullary",,minimal,True
No ChipData,664,8,1,dexamethasone,Low,24 hr,Liver,"Vacuolization, cytoplasmic",Periportal,minimal,False
003017807030,664,8,2,dexamethasone,Low,24 hr,Liver,"Vacuolization, cytoplasmic",Periportal,minimal,False
003017808001,664,8,3,dexamethasone,Low,24 hr,Liver,"Vacuolization, cytoplasmic",Periportal,minimal,False
No ChipData,664,8,4,dexamethasone,Low,24 hr,Liver,"Vacuolization, cytoplasmic",Periportal,minimal,False
003017808002,664,8,5,dexamethasone,Low,24 hr,Liver,"Vacuolization, cytoplasmic",Periportal,minimal,False
No ChipData,664,11,1,dexamethasone,Middle,9 hr,Liver,"Vacuolization, cytoplasmic",Periportal,minimal,False
003017807021,664,11,2,dexamethasone,Middle,9 hr,Liver,"Vacuolization, cytoplasmic",Periportal,minimal,False
No ChipData,664,11,3,dexamethasone,Middle,9 hr,Liver,"Vacuolization, cytoplasmic",Periportal,minimal,False
003017807022,664,11,4,dexamethasone,Middle,9 hr,Liver,"Vacuolization, cytoplasmic",Periportal,minimal,False
003017807023,664,11,5,dexamethasone,Middle,9 hr,Liver,"Vacuolization, cytoplasmic",Periportal,minimal,False
003017808003,664,12,1,dexamethasone,Middle,24 hr,Liver,"Vacuolization, cytoplasmic",Periportal,slight,False
No ChipData,664,12,2,dexamethasone,Middle,24 hr,Liver,"Vacuolization, cytoplasmic",Periportal,slight,False
No ChipData,664,12,3,dexamethasone,Middle,24 hr,Liver,"Vacuolization, cytoplasmic",Periportal,slight,False
003017808004,664,12,4,dexamethasone,Middle,24 hr,Liver,"Vacuolization, cytoplasmic",Periportal,slight,False
003017808005,664,12,5,dexamethasone,Middle,24 hr,Liver,"Vacuolization, cytoplasmic",Periportal,slight,False
No ChipData,664,15,1,dexamethasone,High,9 hr,Liver,"Vacuolization, cytoplasmic",Periportal,slight,False
003017807024,664,15,2,dexamethasone,High,9 hr,Liver,"Vacuolization, cytoplasmic",Periportal,slight,False
003017807025,664,15,3,dexamethasone,High,9 hr,Liver,"Vacuolization, cytoplasmic",Periportal,slight,False
No ChipData,664,15,4,dexamethasone,High,9 hr,Liver,"Vacuolization, cytoplasmic",Periportal,slight,False
003017807026,664,15,5,dexamethasone,High,9 hr,Liver,"Vacuolization, cytoplasmic",Periportal,slight,False
No ChipData,664,16,1,dexamethasone,High,24 hr,Liver,"Vacuolization, cytoplasmic",Periportal,slight,False
003017808006,664,16,2,dexamethasone,High,24 hr,Liver,"Vacuolization, cytoplasmic",Periportal,moderate,False
No ChipData,664,16,3,dexamethasone,High,24 hr,Liver,"Vacuolization, cytoplasmic",Periportal,moderate,False
003017808007,664,16,4,dexamethasone,High,24 hr,Liver,"Vacuolization, cytoplasmic",Periportal,moderate,False
003017808008,664,16,5,dexamethasone,High,24 hr,Liver,"Vacuolization, cytoplasmic",Periportal,moderate,False
003017640017,632,2,2,diclofenac,Control,6 hr,Liver,Necrosis,,minimal,True
003017640029,632,3,2,diclofenac,Control,9 hr,Liver,Necrosis,,minimal,True
003017270014,458,2,2,diethyl maleate,Control,6 hr,Liver,Necrosis,Subserosa,minimal,True
003017291014,458,4,3,diethyl maleate,Control,24 hr,Liver,Necrosis,Subserosa,minimal,True
No ChipData,458,9,3,diethyl maleate,Middle,3 hr,Liver,Increased mitosis,Midlobular,minimal,False
003017270003,458,9,4,diethyl maleate,Middle,3 hr,Liver,"Vacuolization, cytoplasmic",Midlobular,minimal,False
003017270021,458,10,3,diethyl maleate,Middle,6 hr,Liver,Necrosis,Subserosa,minimal,True
No ChipData,458,10,5,diethyl maleate,Middle,6 hr,Liver,Necrosis,Subserosa,minimal,True
003017291009,458,11,5,diethyl maleate,Middle,9 hr,Liver,Necrosis,Subserosa,minimal,True
No ChipData,458,12,4,diethyl maleate,Middle,24 hr,Liver,Necrosis,Subserosa,minimal,True
003017270005,458,13,2,diethyl maleate,High,3 hr,Liver,"Change, eosinophilic",Periportal,minimal,False
No ChipData,458,13,3,diethyl maleate,High,3 hr,Liver,"Change, eosinophilic",Periportal,minimal,False
003017270005,458,13,2,diethyl maleate,High,3 hr,Liver,Increased mitosis,Midlobular,minimal,False
No ChipData,458,13,3,diethyl maleate,High,3 hr,Liver,Increased mitosis,Midlobular,minimal,False
003017270007,458,13,5,diethyl maleate,High,3 hr,Liver,Increased mitosis,Midlobular,minimal,False
No ChipData,458,13,1,diethyl maleate,High,3 hr,Liver,Necrosis,Hepatocyte,minimal,False
003017270005,458,13,2,diethyl maleate,High,3 hr,Liver,Necrosis,Hepatocyte,minimal,False
003017270007,458,13,5,diethyl maleate,High,3 hr,Liver,Necrosis,Hepatocyte,minimal,False
003017270005,458,13,2,diethyl maleate,High,3 hr,Liver,Single cell necrosis,Hepatocyte,minimal,False
003017270007,458,13,5,diethyl maleate,High,3 hr,Liver,Single cell necrosis,Hepatocyte,minimal,False
003017270005,458,13,2,diethyl maleate,High,3 hr,Liver,"Vacuolization, cytoplasmic",Midlobular,minimal,False
003017270007,458,13,5,diethyl maleate,High,3 hr,Liver,"Vacuolization, cytoplasmic",Midlobular,minimal,False
No ChipData,458,14,1,diethyl maleate,High,6 hr,Liver,Increased mitosis,Midlobular,minimal,False
003017270025,458,14,5,diethyl maleate,High,6 hr,Liver,Increased mitosis,Midlobular,minimal,False
003017270023,458,14,2,diethyl maleate,High,6 hr,Liver,Increased mitosis,Midlobular,slight,False
No ChipData,458,14,3,diethyl maleate,High,6 hr,Liver,Increased mitosis,Midlobular,slight,False
003017270024,458,14,4,diethyl maleate,High,6 hr,Liver,Increased mitosis,Midlobular,slight,False
003017270025,458,14,5,diethyl maleate,High,6 hr,Liver,Necrosis,Hepatocyte,minimal,False
003017270024,458,14,4,diethyl maleate,High,6 hr,Liver,Necrosis,Subserosa,minimal,True
No ChipData,458,14,1,diethyl maleate,High,6 hr,Liver,Single cell necrosis,Hepatocyte,minimal,False
003017270023,458,14,2,diethyl maleate,High,6 hr,Liver,Single cell necrosis,Hepatocyte,minimal,False
No ChipData,458,14,3,diethyl maleate,High,6 hr,Liver,Single cell necrosis,Hepatocyte,minimal,False
003017270025,458,14,5,diethyl maleate,High,6 hr,Liver,Single cell necrosis,Hepatocyte,minimal,False
003017291010,458,15,1,diethyl maleate,High,9 hr,Liver,Necrosis,Hepatocyte,minimal,False
003017291011,458,15,4,diethyl maleate,High,9 hr,Liver,Single cell necrosis,Hepatocyte,minimal,False
003017296006,412,16,1,diltiazem,High,24 hr,Liver,Necrosis,,minimal,True
No ChipData,422,2,5,enalapril,Control,6 hr,Liver,Necrosis,Subserosa,minimal,True
No ChipData,422,7,4,enalapril,Low,9 hr,Liver,"Vacuolization, cytoplasmic",Periportal,minimal,True
No ChipData,422,9,3,enalapril,Middle,3 hr,Liver,Necrosis,Subserosa,minimal,True
No ChipData,422,14,2,enalapril,High,6 hr,Liver,"Vacuolization, cytoplasmic",Periportal,minimal,True
003017310010,422,15,1,enalapril,High,9 hr,Liver,"Vacuolization, cytoplasmic",Periportal,minimal,True
003017310011,422,15,2,enalapril,High,9 hr,Liver,"Vacuolization, cytoplasmic",Periportal,minimal,True
No ChipData,422,15,3,enalapril,High,9 hr,Liver,"Vacuolization, cytoplasmic",Periportal,minimal,True
No ChipData,422,16,1,enalapril,High,24 hr,Liver,Microgranuloma,,minimal,True
003017201020,390,12,1,ethambutol,Middle,24 hr,Liver,Increased mitosis,Hepatocyte,slight,False
003017201022,390,12,3,ethambutol,Middle,24 hr,Liver,Increased mitosis,Hepatocyte,slight,False
No ChipData,390,12,5,ethambutol,Middle,24 hr,Liver,Increased mitosis,Hepatocyte,slight,False
003017201023,390,16,1,ethambutol,High,24 hr,Liver,Ground glass appearance,Centrilobular,slight,False
No ChipData,390,16,4,ethambutol,High,24 hr,Liver,Ground glass appearance,Centrilobular,slight,False
No ChipData,390,16,4,ethambutol,High,24 hr,Liver,Increased mitosis,Hepatocyte,moderate,False
003017544020,588,2,3,ethanol,Control,6 hr,Liver,Fibrosis,Subserosa,minimal,True
003017544020,588,2,3,ethanol,Control,6 hr,Liver,Microgranuloma,,slight,True
003017545001,588,3,1,ethanol,Control,9 hr,Liver,Microgranuloma,,minimal,True
No ChipData,588,3,5,ethanol,Control,9 hr,Liver,Microgranuloma,,minimal,True
003017545016,588,8,2,ethanol,Low,24 hr,Liver,Microgranuloma,,minimal,True
003017545019,588,12,1,ethanol,Middle,24 hr,Liver,Microgranuloma,,minimal,True
003017545020,588,12,2,ethanol,Middle,24 hr,Liver,Microgranuloma,,minimal,True
No ChipData,588,12,3,ethanol,Middle,24 hr,Liver,Necrosis,Subserosa,minimal,True
No ChipData,588,14,1,ethanol,High,6 hr,Liver,"Deposit, lipid",,minimal,False
003017544029,588,14,3,ethanol,High,6 hr,Liver,"Deposit, lipid",,minimal,False
003017544029,588,14,3,ethanol,High,6 hr,Liver,Microgranuloma,,minimal,True
003017544030,588,14,4,ethanol,High,6 hr,Liver,Microgranuloma,,minimal,True
003017545010,588,15,1,ethanol,High,9 hr,Liver,"Deposit, lipid",,minimal,False
No ChipData,588,15,3,ethanol,High,9 hr,Liver,"Deposit, lipid",,minimal,False
003017545011,588,15,4,ethanol,High,9 hr,Liver,"Deposit, lipid",,minimal,False
003017545023,588,16,4,ethanol,High,24 hr,Liver,Microgranuloma,,minimal,True
003017058025,304,2,5,ethinylestradiol,Control,6 hr,Liver,Necrosis,Hepatocyte,minimal,True
003017064013,304,4,1,ethinylestradiol,Control,24 hr,Liver,Increased mitosis,Hepatocyte,minimal,True
003017064013,304,4,1,ethinylestradiol,Control,24 hr,Liver,Microgranuloma,Hepatocyte,minimal,True
No ChipData,304,4,5,ethinylestradiol,Control,24 hr,Liver,Necrosis,Hepatocyte,slight,True
No ChipData,304,5,4,ethinylestradiol,Low,3 hr,Liver,Necrosis,Hepatocyte,minimal,True
003017058026,304,6,1,ethinylestradiol,Low,6 hr,Liver,Necrosis,Hepatocyte,minimal,True
003017065027,304,7,5,ethinylestradiol,Low,9 hr,Liver,Necrosis,Hepatocyte,minimal,True
No ChipData,304,8,4,ethinylestradiol,Low,24 hr,Liver,Increased mitosis,Hepatocyte,minimal,True
No ChipData,304,8,4,ethinylestradiol,Low,24 hr,Liver,Necrosis,Hepatocyte,slight,True
003017058013,304,9,2,ethinylestradiol,Middle,3 hr,Liver,Necrosis,Hepatocyte,minimal,True
003017058030,304,10,3,ethinylestradiol,Middle,6 hr,Liver,Necrosis,Hepatocyte,moderate,True
No ChipData,304,12,4,ethinylestradiol,Middle,24 hr,Liver,Increased mitosis,Hepatocyte,minimal,True
003017064021,304,12,5,ethinylestradiol,Middle,24 hr,Liver,Increased mitosis,Hepatocyte,minimal,True
003017064022,304,16,2,ethinylestradiol,High,24 hr,Liver,Increased mitosis,Hepatocyte,minimal,True
No ChipData,304,16,5,ethinylestradiol,High,24 hr,Liver,Increased mitosis,Hepatocyte,minimal,True
No ChipData,304,16,1,ethinylestradiol,High,24 hr,Liver,Necrosis,Hepatocyte,minimal,True
003017540025,584,1,1,ethionamide,Control,3 hr,Liver,Microgranuloma,,minimal,True
003017541012,584,2,1,ethionamide,Control,6 hr,Liver,Microgranuloma,,minimal,True
003017541025,584,3,4,ethionamide,Control,9 hr,Liver,Fibrosis,Subserosa,minimal,True
No ChipData,584,3,3,ethionamide,Control,9 hr,Liver,Microgranuloma,,minimal,True
003017541026,584,3,5,ethionamide,Control,9 hr,Liver,Necrosis,Subserosa,minimal,True
No ChipData,584,4,1,ethionamide,Control,24 hr,Liver,Microgranuloma,,minimal,True
No ChipData,584,4,1,ethionamide,Control,24 hr,Liver,Necrosis,Subserosa,minimal,True
003017542007,584,4,4,ethionamide,Control,24 hr,Liver,Necrosis,Subserosa,minimal,True
No ChipData,584,5,3,ethionamide,Low,3 hr,Liver,Increased mitosis,Hepatocyte,minimal,True
No ChipData,584,5,3,ethionamide,Low,3 hr,Liver,Necrosis,Subserosa,minimal,True
003017540028,584,5,1,ethionamide,Low,3 hr,Liver,Single cell necrosis,,minimal,False
003017540029,584,5,2,ethionamide,Low,3 hr,Liver,Single cell necrosis,,minimal,False
No ChipData,584,5,5,ethionamide,Low,3 hr,Liver,Single cell necrosis,,minimal,False
No ChipData,584,5,3,ethionamide,Low,3 hr,Liver,Single cell necrosis,,slight,False
003017540030,584,5,4,ethionamide,Low,3 hr,Liver,Single cell necrosis,,slight,False
003017541015,584,6,1,ethionamide,Low,6 hr,Liver,Microgranuloma,,minimal,True
No ChipData,584,6,3,ethionamide,Low,6 hr,Liver,Microgranuloma,,minimal,True
No ChipData,584,6,4,ethionamide,Low,6 hr,Liver,Microgranuloma,,minimal,True
003017541017,584,6,5,ethionamide,Low,6 hr,Liver,Microgranuloma,,minimal,True
003017541016,584,6,2,ethionamide,Low,6 hr,Liver,Microgranuloma,,slight,False
003017541015,584,6,1,ethionamide,Low,6 hr,Liver,Single cell necrosis,,minimal,False
No ChipData,584,6,3,ethionamide,Low,6 hr,Liver,Single cell necrosis,,minimal,False
No ChipData,584,6,4,ethionamide,Low,6 hr,Liver,Single cell necrosis,,minimal,False
003017541016,584,6,2,ethionamide,Low,6 hr,Liver,Single cell necrosis,,slight,False
003017541017,584,6,5,ethionamide,Low,6 hr,Liver,Single cell necrosis,,slight,False
003017541016,584,6,2,ethionamide,Low,6 hr,Liver,"Vacuolization, nuclear",Hepatocyte,minimal,False
003017541017,584,6,5,ethionamide,Low,6 hr,Liver,"Vacuolization, nuclear",Hepatocyte,minimal,False
No ChipData,584,7,2,ethionamide,Low,9 hr,Liver,"Change, eosinophilic",Periportal,minimal,False
003017541028,584,7,4,ethionamide,Low,9 hr,Liver,"Change, eosinophilic",Periportal,minimal,False
003017541029,584,7,5,ethionamide,Low,9 hr,Liver,"Change, eosinophilic",Periportal,minimal,False
No ChipData,584,7,1,ethionamide,Low,9 hr,Liver,"Change, eosinophilic",Periportal,slight,False
003017541027,584,7,3,ethionamide,Low,9 hr,Liver,"Change, eosinophilic",Periportal,slight,False
No ChipData,584,7,2,ethionamide,Low,9 hr,Liver,Microgranuloma,,slight,False
003017541028,584,7,4,ethionamide,Low,9 hr,Liver,Microgranuloma,,slight,False
003017541029,584,7,5,ethionamide,Low,9 hr,Liver,Microgranuloma,,slight,False
No ChipData,584,7,1,ethionamide,Low,9 hr,Liver,Microgranuloma,,moderate,False
003017541027,584,7,3,ethionamide,Low,9 hr,Liver,Microgranuloma,,moderate,False
No ChipData,584,7,1,ethionamide,Low,9 hr,Liver,Proliferation,Kupffer cell,minimal,False
003017541027,584,7,3,ethionamide,Low,9 hr,Liver,Proliferation,Kupffer cell,minimal,False
No ChipData,584,7,2,ethionamide,Low,9 hr,Liver,Single cell necrosis,,minimal,False
003017541028,584,7,4,ethionamide,Low,9 hr,Liver,Single cell necrosis,,minimal,False
